GameID,Game Name,Description,Game Created,Last Update,Platoforms URL (JSON String),Favicon
toastsim,Toast Simulator!,,3/16/2024,3/19/2024,"{""itch.io"":""https://freddiethepebble.itch.io/toastsim""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
typeseedtest,TypeSpeed Test,,1/3/2025,1/3/2025,"{""GitHub"":""https://freddiethepebble.github.io/TypeSpeed-Test""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
travellog,Travel Log,,2/1/2025,2/1/2025,"{""GitHub"":""https://freddiethepebble.github.io/Travel-Log/""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
howoldareu,How Old Are U?,,3/15/2024,2/8/2025,"{""GitHub"":""https://freddiethepebble.github.io/How-Old-Are-U/""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
onhold-sim,On-Hold Simulator,,2/9/2025,2/9/2025,"{""itch.io"":""https://freddiethepebble.itch.io/onhold-sim""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
digitsofpi,Digits of π,,10/11/2024,10/11/2024,"{""GitHub"":""https://freddiethepebble.github.io/Digits-of-Pi/""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
balls,Balls,,2/24/2024,2/24/2024,"{""itch.io"":""https://freddiethepebble.itch.io/balls""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
pineapple-3d,3D Pineapple,,9/28/2024,9/28/2024,"{""itch.io"":""https://freddiethepebble.itch.io/pineapple-3d""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
red,Red,,8/9/2024,8/9/2024,"{""itch.io"":""https://freddiethepebble.itch.io/touched""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
CarParksStreetView,Car Parks on Google Street View,,8/17/2024,8/17/2024,"{""GitHub"":""https://freddiethepebble.github.io/StreetView-CarParks/""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
TescoStreetView,Tesco on Google Street View,,4/8/2024,4/13/2024,"{""itch.io"":""https://freddiethepebble.itch.io/touched""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
pottymanager,Porta Potty Manager,,5/24/2024,5/24/2024,"{""itch.io"":""https://freddiethepebble.itch.io/pottymanager""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
karenscoming,A Karens Coming,,12/27/2024,,"{""itch.io"":""https://freddiethepebble.itch.io/karens-coming""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
phonesim,Phone Simulator,,4/23/2024,4/23/2024,"{""itch.io"":""https://freddiethepebble.itch.io/phonesim""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
keyboardsim,Keyboard Simulator,,4/7/2024,6/5/2024,"{""itch.io"":""https://freddiethepebble.itch.io/keyboardsim""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
mousesim,Mouse Simulator,,6/5/2024,2/20/2025,"{""itch.io"":""https://freddiethepebble.itch.io/mousesim""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
garlic-dalek,Garlic or Dalek,,6/15/2024,7/21/2024,"{""itch.io"":""https://freddiethepebble.itch.io/garlic-dalek""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
potato,potato,,4/9/2024,4/20/2024,"{""itch.io"":""https://freddiethepebble.itch.io/potato""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
floatingmiddlefinger,Floating 🖕🏻,,2/4/2024,2/20/2025,"{""itch.io"":""https://freddiethepebble.itch.io/floatingmiddlefinger""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
ElonMusk,Elon Musk,,7/3/2024,7/4/2024,"{""GitHub"":""https://freddiethepebble.github.io/ElonMusk/""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
FPS,FPS,,7/3/2024,7/4/2024,"{""GitHub"":""https://freddiethepebble.github.io/FPS/""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
bored2dos,Things 2do when Bored,,6/30/2024,7/2/2024,"{""GitHub"":""https://freddiethepebble.github.io/Thing-2do-when-Bored/""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
E,E,,7/25/2023,2/20/2025,"{""itch.io"":""https://freddiethepebble.itch.io/e""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
BurntToast,Burnt Toast Recipie,,4/3/2024,4/3/2024,"{""GitHub"":""https://freddiethepebble.github.io/Burnt-Toast-Recipie/""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
whereiscursor,Where is my Cursor?,,1/16/2024,2/21/2025,"{""itch.io"":""https://freddiethepebble.itch.io/whereiscursor""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
keyboardrums,Keyboard Drums Kit,,4/8/2024,2/21/2025,"{""itch.io"":""https://freddiethepebble.itch.io/keyboardrums""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
flip,Flip,,8/21/2023,2/21/2025,"{""itch.io"":""https://freddiethepebble.itch.io/line""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
flip2,Flip 2,,5/19/2024,5/19/2024,"{""itch.io"":""https://freddiethepebble.itch.io/flip""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
tacodoge,Taco Doger,,4/21/2024,4/21/2024,"{""itch.io"":""https://freddiethepebble.itch.io/tacodoge""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png
convert2fruit,Convert to Fruit,,1/2/2024,2/21/2025,"{""itch.io"":""https://freddiethepebble.itch.io/convert2fruit""}",https://raw.githubusercontent.com/FreddieThePebble/PebbleGames/refs/heads/main/icons/ui/Pebble.png